"GeneID","CHR","PRODUCT","FREQ","SNP_per_GENE","INS_per_GENE","DEL_per_GENE","INDELS","START","END","LENGTH"
"CTYZ_00000038","Ctyz_8","Exoribonuclease domain containing protein",1,1,0,0,0,82716,82901,185
"CTYZ_00000038","Ctyz_8","Exoribonuclease domain containing protein",1,1,0,0,0,82956,83026,70
"CTYZ_00000038","Ctyz_8","Exoribonuclease domain containing protein",1,1,0,0,0,83080,83319,239
"CTYZ_00000038","Ctyz_8","Exoribonuclease domain containing protein",1,1,0,0,0,83384,83744,360
"CTYZ_00000039","Ctyz_8","Asparaginyl-tRNA synthetase (NOB+tRNA synthase)",4,4,0,0,0,83950,85446,1496
"CTYZ_00000040","Ctyz_8","vacuolar ATP synthase subunit E",1,1,0,0,0,86017,86019,2
"CTYZ_00000040","Ctyz_8","vacuolar ATP synthase subunit E",1,1,0,0,0,86139,86774,635
"CTYZ_00000041","Ctyz_8","DNA mismatch repair proteins mutS family domain containing protein",2,2,0,0,0,87205,90930,3725
"CTYZ_00000042","Ctyz_8","FAD dependent oxidoreductase",3,3,0,0,0,91462,93039,1577
"CTYZ_00000046","Ctyz_8","Uncharacterized protein",5,5,0,0,0,98912,102181,3269
"CTYZ_00000051","Ctyz_8","MRG domain containing protein",1,1,0,0,0,109609,110595,986
"CTYZ_00000052","Ctyz_8","Histone deacetylase",2,2,0,0,0,111439,114363,2924
"CTYZ_00000053","Ctyz_8","Centriolar protein SAS N-terminal-containing protein",3,3,0,0,0,115097,117865,2768
"CTYZ_00000056","Ctyz_8","Pus1p-like type II pseudousynthas TruA",2,2,0,0,0,120308,121809,1501
"CTYZ_00000056","Ctyz_8","Pus1p-like type II pseudousynthas TruA",2,2,0,0,0,120011,120116,105
"CTYZ_00000057","Ctyz_8","Uncharacterized Protein",24,24,0,0,0,122244,123350,1106
"CTYZ_00000058","Ctyz_8","EF-hand domain containing protein",1,1,0,0,0,124875,124910,35
"CTYZ_00000058","Ctyz_8","EF-hand domain containing protein",1,1,0,0,0,125031,125300,269
"CTYZ_00000060","Ctyz_8","Thrombospondin type-1 (TSP1) repeat containing protein",4,4,0,0,0,126788,129247,2459
"CTYZ_00000061","Ctyz_8","Uncharacterized protein",15,12,2,1,3,131732,138802,7070
"CTYZ_00000062","Ctyz_8","CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform 1 phosphatidylinositol synthase",1,1,0,0,0,140567,140615,48
"CTYZ_00000062","Ctyz_8","CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform 1 phosphatidylinositol synthase",1,1,0,0,0,140695,141317,622
"CTYZ_00000063","Ctyz_8","Proteasome regulatory complex Rpn1 subunit",3,3,0,0,0,141500,144613,3113
"CTYZ_00000065","Ctyz_8","alpha/beta hydrolase fold-containing protein",3,3,0,0,0,146002,146976,974
"CTYZ_00000066","Ctyz_8","Serine aminopeptidase, S33",26,25,0,1,1,147838,149091,1253
"CTYZ_00000067","Ctyz_8","AAA-type ATPase",2,2,0,0,0,149761,152322,2561
"CTYZ_00000069","Ctyz_8","26S proteasome non-ATPase regulatory subunit 5",3,3,0,0,0,155265,156779,1514
"CTYZ_00000070","Ctyz_8","WD40-repeat-containing protein",17,16,1,0,1,157415,161002,3587
"CTYZ_00000071","Ctyz_8","60S ribosomal protein L23A",2,2,0,0,0,161625,161640,15
"CTYZ_00000071","Ctyz_8","60S ribosomal protein L23A",2,2,0,0,0,162028,162473,445
"CTYZ_00000072","Ctyz_8","Uncharacterized protein",7,6,0,1,1,163378,164595,1217
"CTYZ_00000073","Ctyz_8","Uncharacterized protein",20,18,1,1,2,164753,166969,2216
"CTYZ_00000074","Ctyz_8","Uncharacterized protein",15,13,1,1,2,167767,168414,647
"CTYZ_00000075","Ctyz_8","Uncharacterized protein",1,0,1,0,1,169236,169385,149
"CTYZ_00000076","Ctyz_8","putative Secreted Protein",5,3,2,0,2,171244,172608,1364
"CTYZ_00000078","Ctyz_8","putative Secreted Protein",9,7,1,1,2,174989,175183,194
"CTYZ_00000079","Ctyz_8","Myosin motor domain containing protein",15,14,0,1,1,175942,181419,5477
"CTYZ_00000083","Ctyz_8","Prefoldin like molecular chaperone",3,3,0,0,0,185727,186470,743
"CTYZ_00000085","Ctyz_8","putative transmembrane Protein",1,1,0,0,0,190242,191516,1274
"CTYZ_00000086","Ctyz_8","Uncharacterized protein",2,2,0,0,0,192098,195679,3581
"CTYZ_00000088","Ctyz_8","Glutamyl-tRNA synthetase",1,1,0,0,0,197048,198712,1664
"CTYZ_00000089","Ctyz_8","Prp5p C terminal KH eIF4A-1-family RNA SFII helicase",5,4,0,1,1,199442,202228,2786
"CTYZ_00000090","Ctyz_8","AP2/ERF domain containing protein",4,2,2,0,2,204063,208049,3986
"CTYZ_00000091","Ctyz_8","Uncharacterized protein",1,1,0,0,0,209426,210535,1109
"CTYZ_00000092","Ctyz_8","Uncharacterized protein",1,1,0,0,0,210637,211434,797
"CTYZ_00000095","Ctyz_8","Coatomer protein complex subunit alpha",2,2,0,0,0,215221,219366,4145
"CTYZ_00000096","Ctyz_8","DNA dependent DNA polymerase alpha subunit, inactive calcineurin like phosphatase subunit",3,3,0,0,0,220563,222425,1862
"CTYZ_00000097","Ctyz_8","Transcription initiation factor TFIIB Sua7p ZnR+2cyclin",3,3,0,0,0,222462,223829,1367
"CTYZ_00000098","Ctyz_8","CobW/HypB/UreG nucleotide-binding domain-containing hydrolase",1,1,0,0,0,224137,225369,1232
"CTYZ_00000099","Ctyz_8","U3 small nucleolar RNA-associated protein 6",1,1,0,0,0,225769,228678,2909
"CTYZ_00000100","Ctyz_8","Pep3/Vps18/deep orange vacuolar protein",3,3,0,0,0,229148,232894,3746
"CTYZ_00000102","Ctyz_8","Zinc finger, RING/FYVE/PHD-type domain containing protein",1,1,0,0,0,235213,235584,371
"CTYZ_00000104","Ctyz_8","Clathrin coat assembly protein AP50",1,1,0,0,0,236810,238384,1574
"CTYZ_00000105","Ctyz_8","Uncharacterized protein",3,3,0,0,0,238738,240774,2036
"CTYZ_00000106","Ctyz_8","VPS13 like protein involved in vacuolar protein trafficking",4,3,1,0,1,241420,247764,6344
"CTYZ_00000108","Ctyz_8","Uncharacterized protein",3,3,0,0,0,250071,253979,3908
"CTYZ_00000109","Ctyz_8","Uncharacterized protein",1,1,0,0,0,254068,255217,1149
"CTYZ_00000109","Ctyz_8","Uncharacterized protein",1,1,0,0,0,255297,255607,310
"CTYZ_00000110","Ctyz_8","Rad21/Rec8-like",1,1,0,0,0,255869,255896,27
"CTYZ_00000110","Ctyz_8","Rad21/Rec8-like",1,1,0,0,0,256032,256235,203
"CTYZ_00000110","Ctyz_8","Rad21/Rec8-like",1,1,0,0,0,256317,256345,28
"CTYZ_00000110","Ctyz_8","Rad21/Rec8-like",1,1,0,0,0,256413,258299,1886
"CTYZ_00000112","Ctyz_8","Glycyl-tRNA synthetase",2,2,0,0,0,258675,260642,1967
"CTYZ_00000119","Ctyz_8","NRAP like nucleolar RNA associated protein",1,1,0,0,0,273744,277652,3908
"CTYZ_00000122","Ctyz_8","HBS1 eRFS GTpase (RNA metabolism translation)",5,4,1,0,1,280589,282178,1589
"CTYZ_00000123","Ctyz_8","CRAL-TRIO lipid biding/Sec14d domain containing protein",2,2,0,0,0,282839,283183,344
"CTYZ_00000123","Ctyz_8","CRAL-TRIO lipid biding/Sec14d domain containing protein",2,2,0,0,0,283263,284135,872
"CTYZ_00000125","Ctyz_8","putative Secreted Protein",10,3,7,0,7,287135,288631,1496
"CTYZ_00000126","Ctyz_8","Amino acid permease like integral membrane protein, signal peptide plus 11 transmembrane domain",3,3,0,0,0,289340,290725,1385
"CTYZ_00000127","Ctyz_8","Coronin",3,3,0,0,0,292381,294858,2477
"CTYZ_00000128","Ctyz_8","Uncharacterized protein",1,1,0,0,0,296235,296286,51
"CTYZ_00000128","Ctyz_8","Uncharacterized protein",1,1,0,0,0,296044,296172,128
"CTYZ_00000128","Ctyz_8","Uncharacterized protein",1,1,0,0,0,295586,295938,352
"CTYZ_00000129","Ctyz_8","E3A like HECT domain containing ubiquitin protein ligase",7,7,0,0,0,296785,300516,3731
"CTYZ_00000132","Ctyz_8","Serine/Threonine protein kinase",3,3,0,0,0,305983,308175,2192
"CTYZ_00000133","Ctyz_8","DNA polymerase epsilon catalytic subunit",12,6,4,2,6,308632,316980,8348
"CTYZ_00000134","Ctyz_8","Sec23/Sec24",5,5,0,0,0,317323,320757,3434
"CTYZ_00000136","Ctyz_8","Clathrin heavy chain",5,5,0,0,0,324157,330177,6020
"CTYZ_00000139","Ctyz_8","RecF/RecN/SMC protein 5",3,2,0,1,1,333554,337480,3926
"CTYZ_00000139","Ctyz_8","RecF/RecN/SMC protein 5",3,2,0,1,1,337534,337833,299
"CTYZ_00000140","Ctyz_8","Uncharacterized protein",1,1,0,0,0,337853,339253,1400
"CTYZ_00000141","Ctyz_8","Calpain like thiol protease",2,2,0,0,0,339905,342613,2708
"CTYZ_00000142","Ctyz_8","Uncharacterized protein",7,7,0,0,0,342854,343732,878
"CTYZ_00000143","Ctyz_8","Uncharacterized protein",4,2,1,1,2,344068,345117,1049
"CTYZ_00000144","Ctyz_8","Uncharacterized protein",30,20,6,4,10,345174,352838,7664
"CTYZ_00000145","Ctyz_8","Spo11/DNA topoisomerase 6 subunit A",1,1,0,0,0,353328,354407,1079
"CTYZ_00000147","Ctyz_8","GDP-fucose transporter with 9 transmembrane domains",3,3,0,0,0,357738,359021,1283
"CTYZ_00000148","Ctyz_8","Uncharacterized protein",5,5,0,0,0,359754,362162,2408
"CTYZ_00000149","Ctyz_8","Uncharacterized protein",2,2,0,0,0,362292,363194,902
"CTYZ_00000151","Ctyz_8","DNA primase large subunit",1,1,0,0,0,365883,367088,1205
"CTYZ_00000153","Ctyz_8","PP2C like protein phosphatase",1,1,0,0,0,371369,373618,2249
"CTYZ_00000157","Ctyz_8","DNA-directed RNA polymerase III subunit Rpc5",1,1,0,0,0,380758,383442,2684
"CTYZ_00000159","Ctyz_8","CID/ENTH/VHS domain containing protein",1,1,0,0,0,384392,385363,971
"CTYZ_00000160","Ctyz_8","Uncharacterized protein",1,1,0,0,0,386142,387407,1265
"CTYZ_00000160","Ctyz_8","Uncharacterized protein",1,1,0,0,0,386142,386499,357
"CTYZ_00000160","Ctyz_8","Uncharacterized protein",1,1,0,0,0,386552,386610,58
"CTYZ_00000160","Ctyz_8","Uncharacterized protein",1,1,0,0,0,386799,387407,608
"CTYZ_00000162","Ctyz_8","putative transmembrane Protein",5,5,0,0,0,391141,395955,4814
"CTYZ_00000163","Ctyz_8","COPII coat assembly protein, Sec16",7,7,0,0,0,396498,400073,3575
"CTYZ_00000164","Ctyz_8","Ubiquitin carboxyl terminal hydrolase domain fused to a MATH domain",1,0,0,1,1,400581,405398,4817
"CTYZ_00000166","Ctyz_8","Zinc finger C2H2-type",4,4,0,0,0,407576,408718,1142
"CTYZ_00000167","Ctyz_8","Peptidyl-prolyl cis-trans isomerase",1,1,0,0,0,408739,409305,566
"CTYZ_00000168","Ctyz_8","CCCH like finger domain nucleoporin",1,0,1,0,1,409477,411156,1679
"CTYZ_00000170","Ctyz_8","Ribosome biogenesis protein",4,2,0,2,2,411839,412816,977
"CTYZ_00000171","Ctyz_8","Uncharacterized protein",2,2,0,0,0,412819,416715,3896
"CTYZ_00000173","Ctyz_8","Sugar phosphate permease",2,2,0,0,0,417732,420089,2357
"CTYZ_00000174","Ctyz_8","Histidine kinase-like ATPase domain containing-protein",9,9,0,0,0,420641,426997,6356
"CTYZ_00000181","Ctyz_8","SSNA1",1,1,0,0,0,437159,438574,1415
"CTYZ_00000181","Ctyz_8","SSNA1",1,1,0,0,0,439040,439117,77
"CTYZ_00000183","Ctyz_8","Iron-containing alcohol dehydrogenase",2,2,0,0,0,440257,441663,1406
"CTYZ_00000185","Ctyz_8","Aldehyde/Alcohol dehydrogenase",1,1,0,0,0,443013,445478,2465
"CTYZ_00000186","Ctyz_8","ubiquitin activating enzyme E1",1,1,0,0,0,446541,447473,932
"CTYZ_00000187","Ctyz_8","Secreted GGC gene family protein",5,5,0,0,0,447645,452162,4517
"CTYZ_00000188","Ctyz_8","putative Secreted Protein",5,5,0,0,0,452852,453773,921
"CTYZ_00000188","Ctyz_8","putative Secreted Protein",5,5,0,0,0,453831,454324,493
"CTYZ_00000189","Ctyz_8","Ubiquitin-like domain containing protein",4,4,0,0,0,455041,458760,3719
"CTYZ_00000190","Ctyz_8","Uncharacterized protein",1,1,0,0,0,459125,459286,161
"CTYZ_00000191","Ctyz_8","putative Secreted Protein",9,9,0,0,0,459900,462992,3092
"CTYZ_00000192","Ctyz_8","Uncharacterized protein",1,1,0,0,0,463584,465686,2102
"CTYZ_00000193","Ctyz_8","Uncharacterized protein",1,1,0,0,0,466778,468217,1439
"CTYZ_00000194","Ctyz_8","Uncharacterized protein",33,33,0,0,0,469041,470135,1094
"CTYZ_00000196","Ctyz_8","putative ATP-dependent RNA helicase",1,1,0,0,0,472936,474153,1217
"CTYZ_00000197","Ctyz_8","eRF1/Translation release factor pelota",1,0,1,0,1,475594,476844,1250
"CTYZ_00000198","Ctyz_8","Ribosomal protein S4/S9",1,1,0,0,0,478653,478715,62
"CTYZ_00000198","Ctyz_8","Ribosomal protein S4/S9",1,1,0,0,0,478383,478536,153
"CTYZ_00000198","Ctyz_8","Ribosomal protein S4/S9",1,1,0,0,0,477328,477674,346
"CTYZ_00000199","Ctyz_8","E2F/DP family winged-helix DNA-binding domain containing protein",1,0,1,0,1,479866,480738,872
"CTYZ_00000200","Ctyz_8","LisH motif/WD40/YVTN repeat containing protein",1,1,0,0,0,481618,483729,2111
"CTYZ_00000201","Ctyz_8","Zinc finger, RING/FYVE/PHD-type domain containing protein",1,1,0,0,0,483776,484681,905
"CTYZ_00000203","Ctyz_8","ELMO/CED-12",1,1,0,0,0,487194,488741,1547
"CTYZ_00000205","Ctyz_8","putative transmembrane Protein",1,1,0,0,0,489989,491782,1793
"CTYZ_00000207","Ctyz_8","Mannose-6-phosphate isomerase",3,3,0,0,0,493929,495638,1709
"CTYZ_00000209","Ctyz_8","CLASP-N/GCN1 domain containing protein",8,8,0,0,0,497107,507279,10172
"CTYZ_00000210","Ctyz_8","ERCC3/XPB/RAD25, helicase involved in DNA repair",2,2,0,0,0,508313,510817,2504
"CTYZ_00000212","Ctyz_8","Uncharacterized protein",3,3,0,0,0,512180,514273,2093
"CTYZ_00000215","Ctyz_8","Actin-related protein 2/3 complex subunit 1",2,2,0,0,0,518648,518717,69
"CTYZ_00000215","Ctyz_8","Actin-related protein 2/3 complex subunit 1",2,2,0,0,0,517483,518579,1096
"CTYZ_00000216","Ctyz_8","Dynamin like TRAFAC class GTpase domain containing protein",3,3,0,0,0,519055,521772,2717
"CTYZ_00000217","Ctyz_8","RNA cytidine acetyltransferase",1,1,0,0,0,522015,523160,1145
"CTYZ_00000218","Ctyz_8","RNA cytidine acetyltransferase",3,2,1,0,1,523283,525154,1871
"CTYZ_00000219","Ctyz_8","Span like RimI family protein amino acetyltransferase",1,1,0,0,0,525857,526726,869
"CTYZ_00000220","Ctyz_8","HhH-GPD domain-containing 8-oxoguanine DNA glycosylase",5,5,0,0,0,527145,528308,1163
"CTYZ_00000222","Ctyz_8","Potassium channel tetramerization-type BTB domain containing protein",1,1,0,0,0,530073,530789,716
"CTYZ_00000223","Ctyz_8","RRP5-like protein",4,4,0,0,0,531723,537728,6005
"CTYZ_00000224","Ctyz_8","Uncharacterized protein",1,1,0,0,0,537914,540052,2138
"CTYZ_00000225","Ctyz_8","Signal peptide Uncharacterized transmembrane Protein",4,4,0,0,0,540442,542817,2375
"CTYZ_00000226","Ctyz_8","Uncharacterized protein",1,1,0,0,0,542922,544727,1805
"CTYZ_00000227","Ctyz_8","P-type ATPase, transmembrane domain containing protein",3,3,0,0,0,545637,550109,4472
"CTYZ_00000228","Ctyz_8","PH/NUP50/RAN binding domain containing protein",2,2,0,0,0,551258,552475,1217
"CTYZ_00000229","Ctyz_8","PX domain containing protein",1,1,0,0,0,553272,553451,179
"CTYZ_00000229","Ctyz_8","PX domain containing protein",1,1,0,0,0,553532,553887,355
"CTYZ_00000229","Ctyz_8","PX domain containing protein",1,1,0,0,0,553934,554067,133
"CTYZ_00000229","Ctyz_8","PX domain containing protein",1,1,0,0,0,554145,554260,115
"CTYZ_00000230","Ctyz_8","MIR motif-containing 39-like glycosyltransferase",3,3,0,0,0,554329,555003,674
"CTYZ_00000231","Ctyz_8","Activator of Hsp90 ATPase N-terminal/ TPR repeat domain-containing protein",1,1,0,0,0,555618,557159,1541
"CTYZ_00000234","Ctyz_8","Proliferating cell nuclear antigen",1,1,0,0,0,559020,559805,785
"CTYZ_00000235","Ctyz_8","Poly(ADP-ribose) glycohydrolase",1,1,0,0,0,560557,561879,1322
"CTYZ_00000237","Ctyz_8","Serine/Threonine protein kinase",7,7,0,0,0,563969,565567,1598
"CTYZ_00000240","Ctyz_8","Regulator of chromosome condensation RCC1",13,13,0,0,0,568222,569475,1253
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,570152,570301,149
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,570372,570645,273
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,570713,570804,91
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,570918,570969,51
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,571029,572048,1019
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,572133,572200,67
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,572249,572356,107
"CTYZ_00000241","Ctyz_8","Male gamete fusion factor",5,5,0,0,0,572480,572581,101
"CTYZ_00000242","Ctyz_8","Histidine phosphatase",4,4,0,0,0,573212,573628,416
"CTYZ_00000243","Ctyz_8","Uncharacterized protein",1,0,1,0,1,573945,574262,317
"CTYZ_00000244","Ctyz_8","XRN 5'-3' exonuclease N-terminus",19,10,4,5,9,574907,579004,4097
"CTYZ_00000245","Ctyz_8","Alkaline-phosphatase-like protein",27,26,1,0,1,579145,582225,3080
"CTYZ_00000246","Ctyz_8","Uncharacterized protein",3,2,1,0,1,582995,586156,3161
"CTYZ_00000247","Ctyz_8","Uncharacterized protein",2,2,0,0,0,586212,587072,860
"CTYZ_00000248","Ctyz_8","Uncharacterized protein",1,1,0,0,0,587817,588605,788
"CTYZ_00000249","Ctyz_8","Bromodomain/HAS/DEXDc/SNF2 domain containing protein",4,4,0,0,0,588975,593999,5024
"CTYZ_00000251","Ctyz_8","Uncharacterized protein",1,1,0,0,0,596897,599083,2186
"CTYZ_00000252","Ctyz_8","Pyridine nucleotide/ NAD(P) transhydrogenase alpha plus beta subunit",3,3,0,0,0,599765,603193,3428
"CTYZ_00000255","Ctyz_8","Romo1/Mgr2",1,1,0,0,0,607229,607316,87
"CTYZ_00000255","Ctyz_8","Romo1/Mgr2",1,1,0,0,0,607597,607699,102
"CTYZ_00000255","Ctyz_8","Romo1/Mgr2",1,1,0,0,0,607798,607903,105
"CTYZ_00000255","Ctyz_8","Romo1/Mgr2",1,1,0,0,0,607987,608076,89
"CTYZ_00000255","Ctyz_8","Romo1/Mgr2",1,1,0,0,0,608134,608349,215
"CTYZ_00000256","Ctyz_8","Adenosine kinase/Carbohydrate kinase PfkB",1,1,0,0,0,608726,609886,1160
"CTYZ_00000257","Ctyz_8","CDC45-like protein",5,5,0,0,0,610334,612448,2114
"CTYZ_00000258","Ctyz_8","Diacylglycerol kinase",2,2,0,0,0,613048,614895,1847
"CTYZ_00000259","Ctyz_8","Uncharacterized protein",3,3,0,0,0,615411,616157,746
"CTYZ_00000260","Ctyz_8","RHD3/Sey1",1,1,0,0,0,616224,618668,2444
"CTYZ_00000261","Ctyz_8","Transcription initiation factor IIF/ Rap30 like winged HTH",1,1,0,0,0,620074,620115,41
"CTYZ_00000261","Ctyz_8","Transcription initiation factor IIF/ Rap30 like winged HTH",1,1,0,0,0,620171,620254,83
"CTYZ_00000261","Ctyz_8","Transcription initiation factor IIF/ Rap30 like winged HTH",1,1,0,0,0,620339,620995,656
"CTYZ_00000262","Ctyz_8","Serine/Threonine protein kinase",1,1,0,0,0,621400,623376,1976
"CTYZ_00000263","Ctyz_8","Serine/Threonine protein kinase",2,2,0,0,0,623473,626202,2729
"CTYZ_00000264","Ctyz_8","Formin homology 2 domain (FH2) protein",4,4,0,0,0,626836,629991,3155
"CTYZ_00000265","Ctyz_8","SAP domain containing protein",2,2,0,0,0,630410,631636,1226
"CTYZ_00000266","Ctyz_8","Uncharacterized protein",6,6,0,0,0,632171,633955,1784
"CTYZ_00000268","Ctyz_8","Signal peptide Uncharacterized transmembrane Protein",2,2,0,0,0,635992,637719,1727
"CTYZ_00000269","Ctyz_8","Uncharacterized protein",2,2,0,0,0,638379,640022,1643
"CTYZ_00000270","Ctyz_8","Uncharacterized protein",1,1,0,0,0,640578,642110,1532
"CTYZ_00000273","Ctyz_8","Mtr4p like SKI family SFII helicase",2,2,0,0,0,643154,646078,2924
"CTYZ_00000274","Ctyz_8","Sushi/SCR/CCP domain containing protein",2,0,2,0,2,647824,650811,2987
"CTYZ_00000275","Ctyz_8","Uncharacterized protein",1,1,0,0,0,651026,651820,794
"CTYZ_00000278","Ctyz_8","Uncharacterized protein",3,3,0,0,0,658021,659904,1883
"CTYZ_00000279","Ctyz_8","Uncharacterized protein",3,3,0,0,0,660005,661219,1214
"CTYZ_00000280","Ctyz_8","Serine hydroxymethyltransferase",1,1,0,0,0,661318,662631,1313
"CTYZ_00000284","Ctyz_8","Uncharacterized protein",2,2,0,0,0,666600,669230,2630
"CTYZ_00000286","Ctyz_8","E3 SUMO-protein ligase Nse2 (Mms21)",1,1,0,0,0,670226,670837,611
"CTYZ_00000287","Ctyz_8","Uncharacterized protein",15,15,0,0,0,671117,681577,10460
"CTYZ_00000288","Ctyz_8","Uncharacterized protein",1,1,0,0,0,682279,683562,1283
"CTYZ_00000289","Ctyz_8","Glucose-methanol-choline oxidoreductase",2,2,0,0,0,683806,685899,2093
"CTYZ_00000290","Ctyz_8","Uncharacterized protein",1,1,0,0,0,686147,687037,890
"CTYZ_00000292","Ctyz_8","FAD-binding domain containing protein",2,2,0,0,0,688108,689529,1421
"CTYZ_00000292","Ctyz_8","FAD-binding domain containing protein",2,2,0,0,0,689575,689856,281
"CTYZ_00000293","Ctyz_8","FAD/NAD(P)-binding domain containing protein",1,1,0,0,0,690195,691799,1604
"CTYZ_00000294","Ctyz_8","Insulinase like metalloprotease",5,5,0,0,0,692016,695618,3602
"CTYZ_00000295","Ctyz_8","Zinc finger, RING/FYVE/PHD-type domain containing protein",8,8,0,0,0,695867,702598,6731
"CTYZ_00000296","Ctyz_8","Uncharacterized protein",3,3,0,0,0,702651,703673,1022
"CTYZ_00000297","Ctyz_8","Uncharacterized protein",1,1,0,0,0,704001,704945,944
"CTYZ_00000298","Ctyz_8","Uncharacterized protein",2,2,0,0,0,704953,706053,1100
"CTYZ_00000300","Ctyz_8","Bromodomain/HAS/DEXDc/SNF2 domain containing protein",2,1,1,0,1,707401,711267,3866
"CTYZ_00000301","Ctyz_8","Integral membrane protein EMC3/TMCO1-like",1,1,0,0,0,711477,711834,357
"CTYZ_00000301","Ctyz_8","Integral membrane protein EMC3/TMCO1-like",1,1,0,0,0,711889,712209,320
"CTYZ_00000301","Ctyz_8","Integral membrane protein EMC3/TMCO1-like",1,1,0,0,0,712257,712336,79
"CTYZ_00000302","Ctyz_8","Pleckstrin homology (PH domain) containing protein",8,8,0,0,0,713330,725869,12539
"CTYZ_00000303","Ctyz_8","Signal peptide LNR (Lin-12/Notch) repeat containing protein",5,3,2,0,2,726029,727708,1679
"CTYZ_00000304","Ctyz_8","Phosphoribulokinase/uridine kinase/Uracil phosphoribosyltransferase",1,1,0,0,0,727963,729333,1370
"CTYZ_00000306","Ctyz_8","LRR repeat containing protein",2,2,0,0,0,730852,732384,1532
"CTYZ_00000307","Ctyz_8","Uncharacterized protein",3,3,0,0,0,732735,734396,1661
"CTYZ_00000310","Ctyz_8","DNAJ protein",1,1,0,0,0,737635,738612,977
"CTYZ_00000313","Ctyz_8","Translation initiation factor SUI1",1,1,0,0,0,740984,741505,521
"CTYZ_00000318","Ctyz_8","GTpase translation elongation factor 2",1,1,0,0,0,749192,751687,2495
"CTYZ_00000320","Ctyz_8","PTM1-like protein",4,4,0,0,0,753363,755039,1676
"CTYZ_00000323","Ctyz_8","Exosome complex RNA-binding protein 1/RRP40/RRP4",1,1,0,0,0,759853,759880,27
"CTYZ_00000323","Ctyz_8","Exosome complex RNA-binding protein 1/RRP40/RRP4",1,1,0,0,0,759675,759771,96
"CTYZ_00000323","Ctyz_8","Exosome complex RNA-binding protein 1/RRP40/RRP4",1,1,0,0,0,759480,759630,150
"CTYZ_00000323","Ctyz_8","Exosome complex RNA-binding protein 1/RRP40/RRP4",1,1,0,0,0,758887,759437,550
"CTYZ_00000323","Ctyz_8","Exosome complex RNA-binding protein 1/RRP40/RRP4",1,1,0,0,0,758791,758842,51
