"","GeneID","CHR","TYPE","PRODUCT","START","END","LENGTH","STRAND","PHASE"
"61","CTYZ_00003995","Ctyz_00_3","transcript","Transcription factor TFIIB with cyclin-like domain",12623,14563,1940,"-",NA
"62","CTYZ_00003995","Ctyz_00_3","exon","Transcription factor TFIIB with cyclin-like domain",12623,14563,1940,"-",NA
"63","CTYZ_00003995","Ctyz_00_3","CDS","Transcription factor TFIIB with cyclin-like domain",12626,14563,1937,"-","0"
"64","CTYZ_00003995","Ctyz_00_3","start_codon","Transcription factor TFIIB with cyclin-like domain",14561,14563,2,"-","0"
"65","CTYZ_00003995","Ctyz_00_3","stop_codon","Transcription factor TFIIB with cyclin-like domain",12623,12625,2,"-","0"
"66","CTYZ_00003996","Ctyz_00_3","gene",NA,14820,15290,470,"+",NA
"67","CTYZ_00003996","Ctyz_00_3","transcript","DnaJ domain containing protein",14820,15290,470,"+",NA
"68","CTYZ_00003996","Ctyz_00_3","exon","DnaJ domain containing protein",14820,14984,164,"+",NA
"69","CTYZ_00003996","Ctyz_00_3","exon","DnaJ domain containing protein",15141,15290,149,"+",NA
"70","CTYZ_00003996","Ctyz_00_3","CDS","DnaJ domain containing protein",14820,14984,164,"+","0"
"71","CTYZ_00003996","Ctyz_00_3","CDS","DnaJ domain containing protein",15141,15287,146,"+","0"
"72","CTYZ_00003996","Ctyz_00_3","start_codon","DnaJ domain containing protein",14820,14822,2,"+","0"
"73","CTYZ_00003996","Ctyz_00_3","stop_codon","DnaJ domain containing protein",15288,15290,2,"+","0"
"74","CTYZ_00003997","Ctyz_00_3","gene",NA,15680,16210,530,"-",NA
"75","CTYZ_00003997","Ctyz_00_3","transcript","DnaJ domain containing protein",15680,16210,530,"-",NA
"76","CTYZ_00003997","Ctyz_00_3","exon","DnaJ domain containing protein",15680,16210,530,"-",NA
"77","CTYZ_00003997","Ctyz_00_3","CDS","DnaJ domain containing protein",15683,16210,527,"-","0"
"78","CTYZ_00003997","Ctyz_00_3","start_codon","DnaJ domain containing protein",16208,16210,2,"-","0"
"79","CTYZ_00003997","Ctyz_00_3","stop_codon","DnaJ domain containing protein",15680,15682,2,"-","0"
"80","CTYZ_00003998","Ctyz_00_3","gene",NA,16506,16847,341,"-",NA
"81","CTYZ_00003998","Ctyz_00_3","transcript","Chaperone/DNAj domain containing protein",16506,16847,341,"-",NA
"82","CTYZ_00003998","Ctyz_00_3","exon","Chaperone/DNAj domain containing protein",16506,16847,341,"-",NA
"83","CTYZ_00003998","Ctyz_00_3","CDS","Chaperone/DNAj domain containing protein",16509,16847,338,"-","0"
"84","CTYZ_00003998","Ctyz_00_3","start_codon","Chaperone/DNAj domain containing protein",16845,16847,2,"-","0"
"85","CTYZ_00003998","Ctyz_00_3","stop_codon","Chaperone/DNAj domain containing protein",16506,16508,2,"-","0"
"86","CTYZ_00003999","Ctyz_00_3","gene",NA,17004,17708,704,"-",NA
"87","CTYZ_00003999","Ctyz_00_3","transcript","GrpE nucleotide exchange factor",17004,17708,704,"-",NA
"88","CTYZ_00003999","Ctyz_00_3","exon","GrpE nucleotide exchange factor",17004,17708,704,"-",NA
"89","CTYZ_00003999","Ctyz_00_3","CDS","GrpE nucleotide exchange factor",17007,17708,701,"-","0"
"90","CTYZ_00003999","Ctyz_00_3","start_codon","GrpE nucleotide exchange factor",17706,17708,2,"-","0"
"91","CTYZ_00003999","Ctyz_00_3","stop_codon","GrpE nucleotide exchange factor",17004,17006,2,"-","0"
"92","CTYZ_00004000","Ctyz_00_3","gene",NA,18301,19746,1445,"+",NA
"93","CTYZ_00004000","Ctyz_00_3","transcript","Major facilitator superfamily domain containing protein",18301,19746,1445,"+",NA
"94","CTYZ_00004000","Ctyz_00_3","exon","Major facilitator superfamily domain containing protein",18301,19746,1445,"+",NA
"95","CTYZ_00004000","Ctyz_00_3","CDS","Major facilitator superfamily domain containing protein",18301,19743,1442,"+","0"
"96","CTYZ_00004000","Ctyz_00_3","start_codon","Major facilitator superfamily domain containing protein",18301,18303,2,"+","0"
"97","CTYZ_00004000","Ctyz_00_3","stop_codon","Major facilitator superfamily domain containing protein",19744,19746,2,"+","0"
"98","CTYZ_00004001","Ctyz_00_3","gene",NA,20042,20935,893,"-",NA
"99","CTYZ_00004001","Ctyz_00_3","transcript","Biotin-protein ligase N-terminal domain containing protein",20042,20935,893,"-",NA
"100","CTYZ_00004001","Ctyz_00_3","exon","Biotin-protein ligase N-terminal domain containing protein",20042,20935,893,"-",NA
"101","CTYZ_00004001","Ctyz_00_3","CDS","Biotin-protein ligase N-terminal domain containing protein",20045,20935,890,"-","0"
"102","CTYZ_00004001","Ctyz_00_3","start_codon","Biotin-protein ligase N-terminal domain containing protein",20933,20935,2,"-","0"
"103","CTYZ_00004001","Ctyz_00_3","stop_codon","Biotin-protein ligase N-terminal domain containing protein",20042,20044,2,"-","0"
"104","CTYZ_00004002","Ctyz_00_3","gene",NA,21887,22513,626,"-",NA
"105","CTYZ_00004002","Ctyz_00_3","transcript","Thioesterase/HotDog domain containing protein",21887,22513,626,"-",NA
"106","CTYZ_00004002","Ctyz_00_3","exon","Thioesterase/HotDog domain containing protein",21887,22513,626,"-",NA
"107","CTYZ_00004002","Ctyz_00_3","CDS","Thioesterase/HotDog domain containing protein",21890,22513,623,"-","0"
"108","CTYZ_00004002","Ctyz_00_3","start_codon","Thioesterase/HotDog domain containing protein",22511,22513,2,"-","0"
"109","CTYZ_00004002","Ctyz_00_3","stop_codon","Thioesterase/HotDog domain containing protein",21887,21889,2,"-","0"
"110","CTYZ_00004003","Ctyz_00_3","gene",NA,23153,24121,968,"+",NA
"111","CTYZ_00004003","Ctyz_00_3","transcript","DTW domain containing protein",23153,24121,968,"+",NA
"112","CTYZ_00004003","Ctyz_00_3","exon","DTW domain containing protein",23153,24121,968,"+",NA
"113","CTYZ_00004003","Ctyz_00_3","CDS","DTW domain containing protein",23153,24118,965,"+","0"
"114","CTYZ_00004003","Ctyz_00_3","start_codon","DTW domain containing protein",23153,23155,2,"+","0"
"115","CTYZ_00004003","Ctyz_00_3","stop_codon","DTW domain containing protein",24119,24121,2,"+","0"
"116","CTYZ_00004004","Ctyz_00_3","gene",NA,24275,26407,2132,"-",NA
"117","CTYZ_00004004","Ctyz_00_3","transcript","5'-Nucleotidase/apyrase",24275,26407,2132,"-",NA
"118","CTYZ_00004004","Ctyz_00_3","exon","5'-Nucleotidase/apyrase",24275,26407,2132,"-",NA
"119","CTYZ_00004004","Ctyz_00_3","CDS","5'-Nucleotidase/apyrase",24278,26407,2129,"-","0"
"120","CTYZ_00004004","Ctyz_00_3","start_codon","5'-Nucleotidase/apyrase",26405,26407,2,"-","0"
"121","CTYZ_00004004","Ctyz_00_3","stop_codon","5'-Nucleotidase/apyrase",24275,24277,2,"-","0"
"122","CTYZ_00004005","Ctyz_00_3","gene",NA,26912,27729,817,"-",NA
"123","CTYZ_00004005","Ctyz_00_3","transcript","Nascent polypeptide-associated complex subunit alpha",26912,27729,817,"-",NA
"124","CTYZ_00004005","Ctyz_00_3","exon","Nascent polypeptide-associated complex subunit alpha",26912,27729,817,"-",NA
"125","CTYZ_00004005","Ctyz_00_3","CDS","Nascent polypeptide-associated complex subunit alpha",27000,27587,587,"-","0"
"126","CTYZ_00004005","Ctyz_00_3","start_codon","Nascent polypeptide-associated complex subunit alpha",27585,27587,2,"-","0"
"127","CTYZ_00004005","Ctyz_00_3","stop_codon","Nascent polypeptide-associated complex subunit alpha",26997,26999,2,"-","0"
"128","CTYZ_00004006","Ctyz_00_3","gene",NA,27881,28351,470,"-",NA
"129","CTYZ_00004006","Ctyz_00_3","transcript","Uncharacterized protein",27881,28351,470,"-",NA
"130","CTYZ_00004006","Ctyz_00_3","exon","Uncharacterized protein",27881,28351,470,"-",NA
"131","CTYZ_00004006","Ctyz_00_3","CDS","Uncharacterized protein",28163,28351,188,"-","0"
"132","CTYZ_00004006","Ctyz_00_3","start_codon","Uncharacterized protein",28349,28351,2,"-","0"
"133","CTYZ_00004006","Ctyz_00_3","stop_codon","Uncharacterized protein",28160,28162,2,"-","0"
"134","CTYZ_00004007","Ctyz_00_3","gene",NA,28507,29778,1271,"+",NA
"135","CTYZ_00004007","Ctyz_00_3","transcript","DNAJ comain containing protein",28507,29778,1271,"+",NA
"136","CTYZ_00004007","Ctyz_00_3","exon","DNAJ comain containing protein",28507,29778,1271,"+",NA
"137","CTYZ_00004007","Ctyz_00_3","CDS","DNAJ comain containing protein",28507,29775,1268,"+","0"
"138","CTYZ_00004007","Ctyz_00_3","start_codon","DNAJ comain containing protein",28507,28509,2,"+","0"
"139","CTYZ_00004007","Ctyz_00_3","stop_codon","DNAJ comain containing protein",29776,29778,2,"+","0"
"140","CTYZ_00004008","Ctyz_00_3","gene",NA,29997,41685,11688,"-",NA
"141","CTYZ_00004008","Ctyz_00_3","transcript","TSP1/LNR (Lin-12/Notch) repeat containing protein",29997,41685,11688,"-",NA
"142","CTYZ_00004008","Ctyz_00_3","exon","TSP1/LNR (Lin-12/Notch) repeat containing protein",29997,41685,11688,"-",NA
"143","CTYZ_00004008","Ctyz_00_3","CDS","TSP1/LNR (Lin-12/Notch) repeat containing protein",30076,41685,11609,"-","0"
"144","CTYZ_00004008","Ctyz_00_3","start_codon","TSP1/LNR (Lin-12/Notch) repeat containing protein",41683,41685,2,"-","0"
"145","CTYZ_00004008","Ctyz_00_3","stop_codon","TSP1/LNR (Lin-12/Notch) repeat containing protein",30073,30075,2,"-","0"
"146","CTYZ_00004009","Ctyz_00_3","gene",NA,42220,43707,1487,"-",NA
"147","CTYZ_00004009","Ctyz_00_3","transcript","Triose-phosphate Transporter family",42220,43707,1487,"-",NA
"148","CTYZ_00004009","Ctyz_00_3","exon","Triose-phosphate Transporter family",42220,43707,1487,"-",NA
"149","CTYZ_00004009","Ctyz_00_3","CDS","Triose-phosphate Transporter family",42223,43707,1484,"-","0"
"150","CTYZ_00004009","Ctyz_00_3","start_codon","Triose-phosphate Transporter family",43705,43707,2,"-","0"
"151","CTYZ_00004009","Ctyz_00_3","stop_codon","Triose-phosphate Transporter family",42220,42222,2,"-","0"
"152","CTYZ_00004010","Ctyz_00_3","gene",NA,44590,46067,1477,"+",NA
"153","CTYZ_00004010","Ctyz_00_3","transcript","Insulinase (Peptidase family M16)",44590,46067,1477,"+",NA
"154","CTYZ_00004010","Ctyz_00_3","exon","Insulinase (Peptidase family M16)",44590,45688,1098,"+",NA
"155","CTYZ_00004010","Ctyz_00_3","exon","Insulinase (Peptidase family M16)",45742,46067,325,"+",NA
"156","CTYZ_00004010","Ctyz_00_3","CDS","Insulinase (Peptidase family M16)",44590,45688,1098,"+","0"
"157","CTYZ_00004010","Ctyz_00_3","CDS","Insulinase (Peptidase family M16)",45742,46064,322,"+","2"
"158","CTYZ_00004010","Ctyz_00_3","start_codon","Insulinase (Peptidase family M16)",44590,44592,2,"+","0"
"159","CTYZ_00004010","Ctyz_00_3","stop_codon","Insulinase (Peptidase family M16)",46065,46067,2,"+","0"
"160","CTYZ_00004011","Ctyz_00_3","gene",NA,46104,57206,11102,"-",NA
"161","CTYZ_00004011","Ctyz_00_3","transcript","Uncharacterized protein",46104,57206,11102,"-",NA
"162","CTYZ_00004011","Ctyz_00_3","exon","Uncharacterized protein",46104,57206,11102,"-",NA
"163","CTYZ_00004011","Ctyz_00_3","CDS","Uncharacterized protein",46107,57206,11099,"-","0"
"164","CTYZ_00004011","Ctyz_00_3","start_codon","Uncharacterized protein",57204,57206,2,"-","0"
"165","CTYZ_00004011","Ctyz_00_3","stop_codon","Uncharacterized protein",46104,46106,2,"-","0"
"166","CTYZ_00004012","Ctyz_00_3","gene",NA,57642,59519,1877,"-",NA
"167","CTYZ_00004012","Ctyz_00_3","transcript","Signal peptide, Kazal domain containing protein",57642,59519,1877,"-",NA
"168","CTYZ_00004012","Ctyz_00_3","exon","Signal peptide, Kazal domain containing protein",57642,59519,1877,"-",NA
"169","CTYZ_00004012","Ctyz_00_3","CDS","Signal peptide, Kazal domain containing protein",57645,59519,1874,"-","0"
"170","CTYZ_00004012","Ctyz_00_3","start_codon","Signal peptide, Kazal domain containing protein",59517,59519,2,"-","0"
"171","CTYZ_00004012","Ctyz_00_3","stop_codon","Signal peptide, Kazal domain containing protein",57642,57644,2,"-","0"
"172","CTYZ_00004013","Ctyz_00_3","gene",NA,60508,63567,3059,"-",NA
"173","CTYZ_00004013","Ctyz_00_3","transcript","Uncharacterized protein",60508,63567,3059,"-",NA
"174","CTYZ_00004013","Ctyz_00_3","exon","Uncharacterized protein",60508,63567,3059,"-",NA
"175","CTYZ_00004013","Ctyz_00_3","CDS","Uncharacterized protein",60511,63567,3056,"-","0"
"176","CTYZ_00004013","Ctyz_00_3","start_codon","Uncharacterized protein",63565,63567,2,"-","0"
"177","CTYZ_00004013","Ctyz_00_3","stop_codon","Uncharacterized protein",60508,60510,2,"-","0"
"178","CTYZ_00004014","Ctyz_00_3","gene",NA,64060,64722,662,"+",NA
"179","CTYZ_00004014","Ctyz_00_3","transcript","adenylate kinase",64060,64722,662,"+",NA
"180","CTYZ_00004014","Ctyz_00_3","exon","adenylate kinase",64060,64722,662,"+",NA
"181","CTYZ_00004014","Ctyz_00_3","CDS","adenylate kinase",64060,64719,659,"+","0"
"182","CTYZ_00004014","Ctyz_00_3","start_codon","adenylate kinase",64060,64062,2,"+","0"
"183","CTYZ_00004014","Ctyz_00_3","stop_codon","adenylate kinase",64720,64722,2,"+","0"
"184","CTYZ_00004015","Ctyz_00_3","gene",NA,64827,65667,840,"-",NA
"185","CTYZ_00004015","Ctyz_00_3","transcript","Cyclophilin peptidyl-prolyl cis-trans isomerase",64827,65667,840,"-",NA
"186","CTYZ_00004015","Ctyz_00_3","exon","Cyclophilin peptidyl-prolyl cis-trans isomerase",65173,65667,494,"-",NA
"187","CTYZ_00004015","Ctyz_00_3","exon","Cyclophilin peptidyl-prolyl cis-trans isomerase",64827,64928,101,"-",NA
"188","CTYZ_00004015","Ctyz_00_3","CDS","Cyclophilin peptidyl-prolyl cis-trans isomerase",65173,65667,494,"-","0"
"189","CTYZ_00004015","Ctyz_00_3","CDS","Cyclophilin peptidyl-prolyl cis-trans isomerase",64830,64928,98,"-","0"
"190","CTYZ_00004015","Ctyz_00_3","start_codon","Cyclophilin peptidyl-prolyl cis-trans isomerase",65665,65667,2,"-","0"
"191","CTYZ_00004015","Ctyz_00_3","stop_codon","Cyclophilin peptidyl-prolyl cis-trans isomerase",64827,64829,2,"-","0"
"192","CTYZ_00004016","Ctyz_00_3","gene",NA,66407,67851,1444,"+",NA
"193","CTYZ_00004016","Ctyz_00_3","transcript","vacuolar ATP synthase subunit d",66407,67851,1444,"+",NA
"194","CTYZ_00004016","Ctyz_00_3","exon","vacuolar ATP synthase subunit d",66407,67851,1444,"+",NA
"195","CTYZ_00004016","Ctyz_00_3","CDS","vacuolar ATP synthase subunit d",66598,67782,1184,"+","0"
"196","CTYZ_00004016","Ctyz_00_3","start_codon","vacuolar ATP synthase subunit d",66598,66600,2,"+","0"
"197","CTYZ_00004016","Ctyz_00_3","stop_codon","vacuolar ATP synthase subunit d",67783,67785,2,"+","0"
"198","CTYZ_00004017","Ctyz_00_3","gene",NA,68243,68875,632,"+",NA
"199","CTYZ_00004017","Ctyz_00_3","transcript","Derlin",68243,68875,632,"+",NA
"200","CTYZ_00004017","Ctyz_00_3","exon","Derlin",68243,68875,632,"+",NA
"201","CTYZ_00004017","Ctyz_00_3","CDS","Derlin",68243,68872,629,"+","0"
"202","CTYZ_00004017","Ctyz_00_3","start_codon","Derlin",68243,68245,2,"+","0"
"203","CTYZ_00004017","Ctyz_00_3","stop_codon","Derlin",68873,68875,2,"+","0"
"204","CTYZ_00004018","Ctyz_00_3","gene",NA,69306,69635,329,"+",NA
"205","CTYZ_00004018","Ctyz_00_3","transcript","Uncharacterized protein",69306,69635,329,"+",NA
"206","CTYZ_00004018","Ctyz_00_3","exon","Uncharacterized protein",69306,69635,329,"+",NA
"207","CTYZ_00004018","Ctyz_00_3","CDS","Uncharacterized protein",69306,69632,326,"+","0"
"208","CTYZ_00004018","Ctyz_00_3","start_codon","Uncharacterized protein",69306,69308,2,"+","0"
"209","CTYZ_00004018","Ctyz_00_3","stop_codon","Uncharacterized protein",69633,69635,2,"+","0"
"210","CTYZ_00004019","Ctyz_00_3","gene",NA,69809,71386,1577,"-",NA
"211","CTYZ_00004019","Ctyz_00_3","transcript","Uncharacterized protein",69809,71386,1577,"-",NA
"212","CTYZ_00004019","Ctyz_00_3","exon","Uncharacterized protein",71255,71386,131,"-",NA
"213","CTYZ_00004019","Ctyz_00_3","exon","Uncharacterized protein",71000,71190,190,"-",NA
"214","CTYZ_00004019","Ctyz_00_3","exon","Uncharacterized protein",69809,70933,1124,"-",NA
"215","CTYZ_00004019","Ctyz_00_3","CDS","Uncharacterized protein",71255,71324,69,"-","0"
"216","CTYZ_00004019","Ctyz_00_3","CDS","Uncharacterized protein",71000,71190,190,"-","2"
"217","CTYZ_00004019","Ctyz_00_3","CDS","Uncharacterized protein",69812,70933,1121,"-","0"
"218","CTYZ_00004019","Ctyz_00_3","start_codon","Uncharacterized protein",71322,71324,2,"-","0"
"219","CTYZ_00004019","Ctyz_00_3","stop_codon","Uncharacterized protein",69809,69811,2,"-","0"
"220","CTYZ_00004020","Ctyz_00_3","gene",NA,71842,78081,6239,"+",NA
"221","CTYZ_00004020","Ctyz_00_3","transcript","Zinc finger, RING/FYVE/PHD-type domain containing protein",71842,78081,6239,"+",NA
"222","CTYZ_00004020","Ctyz_00_3","exon","Zinc finger, RING/FYVE/PHD-type domain containing protein",71842,78081,6239,"+",NA
"223","CTYZ_00004020","Ctyz_00_3","CDS","Zinc finger, RING/FYVE/PHD-type domain containing protein",71842,78078,6236,"+","0"
"224","CTYZ_00004020","Ctyz_00_3","start_codon","Zinc finger, RING/FYVE/PHD-type domain containing protein",71842,71844,2,"+","0"
"225","CTYZ_00004020","Ctyz_00_3","stop_codon","Zinc finger, RING/FYVE/PHD-type domain containing protein",78079,78081,2,"+","0"
"226","CTYZ_00004021","Ctyz_00_3","gene",NA,79150,79851,701,"+",NA
"227","CTYZ_00004021","Ctyz_00_3","transcript","Transcription elongation factor TFIIS",79150,79851,701,"+",NA
"228","CTYZ_00004021","Ctyz_00_3","exon","Transcription elongation factor TFIIS",79150,79851,701,"+",NA
"229","CTYZ_00004021","Ctyz_00_3","CDS","Transcription elongation factor TFIIS",79150,79848,698,"+","0"
"230","CTYZ_00004021","Ctyz_00_3","start_codon","Transcription elongation factor TFIIS",79150,79152,2,"+","0"
"231","CTYZ_00004021","Ctyz_00_3","stop_codon","Transcription elongation factor TFIIS",79849,79851,2,"+","0"
"232","CTYZ_00004022","Ctyz_00_3","gene",NA,79919,80329,410,"-",NA
"233","CTYZ_00004022","Ctyz_00_3","transcript","Uncharacterized protein",79919,80329,410,"-",NA
"234","CTYZ_00004022","Ctyz_00_3","exon","Uncharacterized protein",79919,80329,410,"-",NA
"235","CTYZ_00004022","Ctyz_00_3","CDS","Uncharacterized protein",79922,80329,407,"-","0"
"236","CTYZ_00004022","Ctyz_00_3","start_codon","Uncharacterized protein",80327,80329,2,"-","0"
"237","CTYZ_00004022","Ctyz_00_3","stop_codon","Uncharacterized protein",79919,79921,2,"-","0"
"238","CTYZ_00004023","Ctyz_00_3","gene",NA,81452,82054,602,"+",NA
"239","CTYZ_00004023","Ctyz_00_3","transcript","RRM domain containing protein",81452,82054,602,"+",NA
"240","CTYZ_00004023","Ctyz_00_3","exon","RRM domain containing protein",81452,82054,602,"+",NA
"241","CTYZ_00004023","Ctyz_00_3","CDS","RRM domain containing protein",81452,82051,599,"+","0"
"242","CTYZ_00004023","Ctyz_00_3","start_codon","RRM domain containing protein",81452,81454,2,"+","0"
"243","CTYZ_00004023","Ctyz_00_3","stop_codon","RRM domain containing protein",82052,82054,2,"+","0"
"244","CTYZ_00004024","Ctyz_00_3","gene",NA,83678,84193,515,"+",NA
"245","CTYZ_00004024","Ctyz_00_3","transcript","Glycosyl transferase, family 8",83678,84193,515,"+",NA
"246","CTYZ_00004024","Ctyz_00_3","exon","Glycosyl transferase, family 8",83678,84193,515,"+",NA
"247","CTYZ_00004024","Ctyz_00_3","CDS","Glycosyl transferase, family 8",83678,84190,512,"+","0"
"248","CTYZ_00004024","Ctyz_00_3","start_codon","Glycosyl transferase, family 8",83678,83680,2,"+","0"
"249","CTYZ_00004024","Ctyz_00_3","stop_codon","Glycosyl transferase, family 8",84191,84193,2,"+","0"
"250","CTYZ_00004025","Ctyz_00_3","gene",NA,84611,85821,1210,"+",NA
"251","CTYZ_00004025","Ctyz_00_3","transcript","Uncharacterized protein",84611,85821,1210,"+",NA
"252","CTYZ_00004025","Ctyz_00_3","exon","Uncharacterized protein",84611,84730,119,"+",NA
"253","CTYZ_00004025","Ctyz_00_3","exon","Uncharacterized protein",84805,85821,1016,"+",NA
"254","CTYZ_00004025","Ctyz_00_3","CDS","Uncharacterized protein",84611,84730,119,"+","0"
"255","CTYZ_00004025","Ctyz_00_3","CDS","Uncharacterized protein",84805,85818,1013,"+","0"
