"GeneID","CHR","PRODUCT","VARIANTS_SUM","SNP_per_GENE","INS_per_GENE","DEL_per_GENE","INDELS","START","END","LENGTH","SNPsPerLENGTH"
"CTYZ_00001187","Ctyz_6","Disulfide-isomerase, signal peptide plus ER retention motif",26,26,0,0,0,24514,25959,1445,0.0179930795847751
"CTYZ_00001495","Ctyz_6","RNA-polymerase II-associated protein 3-like protein",23,23,0,0,0,689739,691043,1304,0.0176380368098159
"CTYZ_00000997","Ctyz_7","DnaJ/Sec63 domain containing protein",32,32,0,0,0,883966,885849,1883,0.0169941582580988
"CTYZ_00003977","Ctyz_1","Uncharacterized protein",62,62,0,0,0,844822,848628,3806,0.0162900683131897
"CTYZ_00002543","Ctyz_2","Uncharacterized protein",27,27,0,0,0,594212,595885,1673,0.0161386730424387
"CTYZ_00000989","Ctyz_7","Uncharacterized protein",65,65,0,0,0,863987,868252,4265,0.0152403282532239
"CTYZ_00001186","Ctyz_6","Malectin",13,13,0,0,0,22846,23715,869,0.0149597238204833
"CTYZ_00000999","Ctyz_7","Calcium-dependent protein kinase 7 (CDPK)(CPK7)",16,16,0,0,0,887617,888690,1073,0.0149114631873253
"CTYZ_00002715","Ctyz_3","Asparagine synthetase B like protein",27,27,0,0,0,23356,25515,2159,0.0125057897174618
"CTYZ_00003062","Ctyz_3","DEAD/DEAH box helicase",23,23,0,0,0,832427,834412,1985,0.0115869017632242
"CTYZ_00002132","Ctyz_4","Uncharacterized protein",23,23,0,0,0,852279,854300,2021,0.0113805047006432
"CTYZ_00003173","Ctyz_5","putative Secreted Protein",22,22,0,0,0,40754,42718,1964,0.0112016293279022
"CTYZ_00002885","Ctyz_3","Uncharacterized protein",10,10,0,0,0,455142,456044,902,0.0110864745011086
"CTYZ_00001593","Ctyz_6","Uncharacterized protein",28,28,0,0,0,900569,903159,2590,0.0108108108108108
"CTYZ_00000240","Ctyz_8","Regulator of chromosome condensation RCC1",13,13,0,0,0,568222,569478,1256,0.0103503184713376
"CTYZ_00003983","Ctyz_1","putative Secreted Protein",23,23,0,0,0,863426,865666,2240,0.0102678571428571
"CTYZ_00001183","Ctyz_6","Histone deacetylase",13,13,0,0,0,16853,18187,1334,0.00974512743628186
"CTYZ_00001596","Ctyz_6","GTP-binding elongation factor protein",31,31,0,0,0,909779,913081,3302,0.00938824954572986
"CTYZ_00002504","Ctyz_2","Uncharacterized protein",21,21,0,0,0,509787,512170,2383,0.00881242131766681
"CTYZ_00002131","Ctyz_4","Uncharacterized protein",10,10,0,0,0,850712,851878,1166,0.00857632933104631
"CTYZ_00002542","Ctyz_2","ER lumen protein retaining receptor",9,9,0,0,0,592965,594067,1102,0.00816696914700544
"CTYZ_00002575","Ctyz_2","Phosphoglucomutase",15,15,0,0,0,671219,673069,1850,0.00810810810810811
"CTYZ_00003090","Ctyz_3","Centrin like EF hand protein",11,11,0,0,0,906401,907819,1418,0.0077574047954866
"CTYZ_00002382","Ctyz_2","DnaJ domain containing protein",13,13,0,0,0,304210,305920,1710,0.00760233918128655
"CTYZ_00002128","Ctyz_4","Uncharacterized protein",12,12,0,0,0,842199,843947,1748,0.0068649885583524
"CTYZ_00000005","Ctyz_8","putative Secreted Protein",18,18,0,0,0,11693,14341,2648,0.006797583081571
"CTYZ_00001008","Ctyz_7","PX/WD40 domain containing protein",12,12,0,0,0,899346,901124,1778,0.00674915635545557
"CTYZ_00000002","Ctyz_8","putative Secreted Protein",17,17,0,0,0,2365,5136,2771,0.00613496932515337
"CTYZ_00002119","Ctyz_4","Uncharacterized protein",29,29,0,0,0,815130,819866,4736,0.00612331081081081
"CTYZ_00001494","Ctyz_6","Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II",25,25,0,0,0,685199,689530,4331,0.00577233895174325
"CTYZ_00001197","Ctyz_6","Oocyst wall protein 9",20,20,0,0,0,44847,48398,3551,0.00563221627710504
"CTYZ_00002884","Ctyz_3","Uncharacterized protein",11,11,0,0,0,452705,454813,2108,0.00521821631878558
"CTYZ_00002553","Ctyz_2","Uncharacterized protein",11,11,0,0,0,620357,622471,2114,0.00520340586565752
"CTYZ_00003373","Ctyz_5","SKI family SFII helicase",33,33,0,0,0,452421,458792,6371,0.00517972060900958
